bie_from;bie_to;bgstat;hdl_id;srt_bufgrp_id;scrn_bufgrp_id
A;A;E ;1;1;41
A;C;E ;1;1;41
A;E;E ;1;1;41
A;H;E ;1;1;41
A;A;E ;2;2;41
A;C;E ;2;2;41
A;E;E ;2;2;41
A;A;E ;4;2;41
A;C;E ;4;2;41
A;E;E ;4;2;41
A;B;E ;1;10;41
A;D;E ;1;10;41
A;F;E ;1;10;41
A;B;E ;2;11;41
A;D;E ;2;11;41
A;F;E ;2;11;41
A;H;E ;2;11;41
A;B;E ;4;11;41
A;D;E ;4;11;41
A;F;E ;4;11;41
A;H;E ;4;11;41
A;A;E ;3;21;41
A;B;E ;3;21;41
A;C;E ;3;21;41
A;D;E ;3;21;41
A;F;E ;3;21;41
A;H;E ;3;21;41
B;A;E ;1;1;41
B;A;E ;2;2;41
B;A;E ;4;2;41
B;B;E ;1;10;41
B;C;E ;1;10;41
B;D;E ;1;10;41
B;E;E ;1;10;41
B;F;E ;1;10;41
B;H;E ;1;10;41
B;B;E ;2;11;41
B;C;E ;2;11;41
B;D;E ;2;11;41
B;E;E ;2;11;41
B;F;E ;2;11;41
B;H;E ;2;11;41
B;B;E ;4;11;41
B;C;E ;4;11;41
B;D;E ;4;11;41
B;E;E ;4;11;41
B;F;E ;4;11;41
B;H;E ;4;11;41
B;A;E ;3;21;41
B;B;E ;3;21;41
B;C;E ;3;21;41
B;D;E ;3;21;41
B;E;E ;3;21;41
B;F;E ;3;21;41
B;H;E ;3;21;41
C;C;E ;1;19;50
C;C;E ;2;20;50
C;C;E ;4;20;50
C;C;E ;3;21;50
C;A;E ;1;19;51
C;B;E ;1;19;51
C;D;E ;1;19;51
C;E;E ;1;19;51
C;F;E ;1;19;51
C;H;E ;1;19;51
C;A;E ;2;20;51
C;B;E ;2;20;51
C;D;E ;2;20;51
C;E;E ;2;20;51
C;F;E ;2;20;51
C;H;E ;2;20;51
C;A;E ;4;20;51
C;B;E ;4;20;51
C;D;E ;4;20;51
C;E;E ;4;20;51
C;F;E ;4;20;51
C;H;E ;4;20;51
C;A;E ;3;21;51
C;B;E ;3;21;51
C;D;E ;3;21;51
C;E;E ;3;21;51
C;F;E ;3;21;51
C;H;E ;3;21;51
CIR1;A;E ;1;1;41
CIR1;A;E ;2;2;41
CIR1;A;E ;4;2;41
CIR1;B;E ;1;10;41
CIR1;C;E ;1;10;41
CIR1;D;E ;1;10;41
CIR1;E;E ;1;10;41
CIR1;F;E ;1;10;41
CIR1;H;E ;1;10;41
CIR1;B;E ;2;11;41
CIR1;C;E ;2;11;41
CIR1;D;E ;2;11;41
CIR1;E;E ;2;11;41
CIR1;F;E ;2;11;41
CIR1;H;E ;2;11;41
CIR1;B;E ;4;11;41
CIR1;C;E ;4;11;41
CIR1;D;E ;4;11;41
CIR1;E;E ;4;11;41
CIR1;F;E ;4;11;41
CIR1;H;E ;4;11;41
CIR1;A;E ;3;21;41
CIR1;B;E ;3;21;41
CIR1;C;E ;3;21;41
CIR1;D;E ;3;21;41
